Iteration                Wall_Time                Samples                  Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        1.1258655124240452e-09   1900149                  15.061720978828365       32                       0.008161898255348205     200                      -0.30054046630859377     1000                     16.109253                11.45508                 4.8254424e-07            1.7296882                60.737812                
50                       0.03506509443124135      1900149                  288.14082822055          32                       0.0009243633598089218    10200                    -1.697907958984375       51000                    -0.010417379             4.2948728                3.8750235e-18            5.754907                 45151.82                 
100                      0.06965651545259688      1900149                  286.8856779884359        32                       0.0008505365252494812    20200                    -1.7154476318359375      101000                   0.049902026              4.1617928                4.9581214e-18            8.395598                 74062.99                 
150                      0.1041456151008606       1900149                  285.35886515598315       32                       0.0008371903002262115    30200                    -1.716027587890625       151000                   0.12681305               4.0640006                7.91511e-18              9.463554                 109370.77                
200                      0.1386469234360589       1900149                  290.6643735864169        32                       0.0007927104830741883    40200                    -1.70437744140625        201000                   0.055306405              3.9915936                9.759885e-18             11.798231                159312.72                
250                      0.17297751360469393      1900149                  288.7149430461053        32                       0.0007791589945554733    50200                    -1.719465087890625       251000                   -0.0013675109            3.9478555                2.4789048e-17            18.601591                225724.02                
300                      0.2072744474808375       1900149                  272.5646561525149        32                       0.000757671371102333     60200                    -1.719924072265625       301000                   -0.07083496              3.900115                 6.298815e-17             42.797356                661991.2                 
350                      0.2423584171798494       1900149                  284.7189867808616        32                       0.0007520921528339386    70200                    -1.71418701171875        351000                   0.005652039              3.8546317                1.745759e-16             174.98656                4687718.0                
400                      0.2772380053334766       1900149                  262.5211685869538        32                       0.0007281662523746491    80200                    -1.7284451904296876      401000                   -0.03235964              3.828465                 3.0149516e-16            344.16122                9003642.0                
450                      0.31263974355326757      1900149                  280.68913789227736       32                       0.0007221786677837371    90200                    -1.74184521484375        451000                   0.014076731              3.8175955                1.1688598e-15            1251.3658                37456904.0               
500                      0.3473745074537065       1900149                  285.11997866879426       32                       0.0007378493249416352    100200                   -1.7386536865234374      501000                   0.10336901               3.8158553                7.502669e-15             7025.405                 249435060.0              
550                      0.3817707493570116       1900149                  281.06635517677586       32                       0.0007000759989023209    110200                   -1.722817138671875       551000                   -0.14414439              3.7461529                3.696648e-15             12409.128                441291500.0              
600                      0.4183562900622686       1900149                  281.23636557401477       32                       0.0006937872618436814    120200                   -1.6994368896484375      601000                   -0.06695743              3.6968617                2.4276432e-15            11688.05                 359689700.0              
650                      0.4595554247829649       1900149                  290.9184638601926        32                       0.0006929068267345429    130200                   -1.7310853271484374      651000                   -0.13195644              3.6927452                5.121726e-15             25537.832                801102300.0              
700                      0.50487847632832         1900149                  295.00592433788927       32                       0.0006994906812906265    140200                   -1.751464111328125       701000                   0.022720218              3.7032735                2.3139839e-14            56834.633                1944597600.0             
750                      0.553522172636456        1900149                  289.2062149289683        32                       0.0007043327391147614    150200                   -1.7853685302734374      751000                   0.071352206              3.7769787                1.5431525e-13            148712.45                5901004000.0             
800                      0.60396368821462         1900149                  282.10343823995595       32                       0.0006881245970726013    160200                   -1.7353377685546876      801000                   0.012313682              3.6520226                2.155439e-14             42557.832                1056596160.0             
850                      0.6530752169423634       1900149                  290.81538142257637       32                       0.0006630785018205643    170200                   -1.7470810546875         851000                   -0.06936348              3.6573114                7.300872e-14             566531.1                 21693690000.0            
900                      0.7021363166305754       1900149                  277.9458281283684        32                       0.0006652552634477616    180200                   -1.720387939453125       901000                   -0.017690886             3.605345                 6.3067105e-14            468102.62                17059365000.0            
950                      0.7507285470432705       1900149                  287.42186784110186       32                       0.0006721390038728714    190200                   -1.73204443359375        951000                   -0.031550378             3.6011715                1.2012722e-13            236650.72                7854206500.0             
1000                     0.7993443463908302       1900149                  285.7205651844661        32                       0.0006565621495246887    200200                   -1.7574798583984375      1001000                  -0.056616735             3.6190705                1.0730246e-13            394527.12                13576237000.0            
1050                     0.8480830172697703       1900149                  288.1456398780492        32                       0.000655597597360611     210200                   -1.7577664794921875      1051000                  0.02873385               3.614299                 1.3602024e-13            310605.5                 8270181000.0             
1100                     0.8960459874735938       1900149                  285.3758571272811        32                       0.0006395308673381806    220200                   -1.7302244873046875      1101000                  -0.04361528              3.5596533                1.07690176e-13           334734.28                10203529000.0            
1150                     0.9441054658757315       1900149                  281.88300240301896       32                       0.0006419295817613602    230200                   -1.7711832275390624      1151000                  -0.021769201             3.6040788                1.0279318e-13            1361030.5                47660827000.0            
1200                     0.9922016688187917       1900149                  278.7573033523395        32                       0.0006536030769348144    240200                   -1.7694986572265625      1201000                  0.038984615              3.5840554                1.4418649e-13            4482014.0                168077100000.0           
1250                     1.0401763834555944       1900149                  284.7444100978127        32                       0.0006291283667087554    250200                   -1.7796920166015624      1251000                  0.03908342               3.6019115                1.1144036e-13            3599706.0                138615820000.0           
1300                     1.0873578695456187       1900149                  285.14551028439087       32                       0.0006454411149024963    260200                   -1.7625284423828125      1301000                  0.06323812               3.5591607                9.524747e-14             2444241.5                79871230000.0            
1350                     1.1347543246878518       1900149                  281.4161021491329        32                       0.0006207776069641113    270200                   -1.77853076171875        1351000                  0.089633934              3.566332                 1.8026284e-13            4811962.5                153763900000.0           
1400                     1.1838238822751574       1900149                  282.54054802223874       32                       0.0006157518923282624    280200                   -1.7587445068359375      1401000                  -0.049115546             3.507776                 1.6790299e-13            2991704.0                84005980000.0            
1450                     1.2310028907325532       1900149                  287.2497746569459        32                       0.0006247752159833908    290200                   -1.77607470703125        1451000                  -0.07214437              3.5122406                1.6255847e-13            2366889.8                68917810000.0            
1500                     1.2792684415313933       1900149                  283.498678585532         32                       0.0006274684518575668    300200                   -1.776099853515625       1501000                  0.09260586               3.5228703                1.4504266e-13            3440490.5                114338270000.0           
