Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.00022517734103732638   2091                     -15.897555944143054      41                       -12.890292205706752      32                       0.0040965335286078765    201                      -0.7503159682114761      1001                     -5.8268247               8.464905                 0.091209665              1.726204                 44.561806                
50                       0.030875637465053136     106641                   -13.035910231660951      2050                     -8.874114852735753       32                       0.00013470689566870826   10251                    -0.7299883953936688      51051                    0.08195968               1.6425953                0.00065698684            2.018919                 9589.121                 
100                      0.06259610348277622      211191                   -11.675605051819062      2050                     -5.393613147755649       32                       5.95031167144206e-05     20301                    -0.7887195812000499      101101                   0.0013848491             1.0889137                0.0011477253             1.7279114                291.04395                
150                      0.09427986237737868      315741                   -11.312186996725305      2050                     -6.521359687863942       32                       5.006470453383318e-05    30351                    -0.8043211671141358      151151                   0.019947695              1.0037196                0.00011275482            1.7354643                185.46391                
200                      0.1259314677450392       420291                   -10.96563884522497       2050                     -6.605554734370379       32                       3.586500530960548e-05    40401                    -0.8337026133046641      201201                   0.00702183               0.8476493                0.002875511              1.7061585                462.4551                 
250                      0.15757660965124767      524841                   -10.797291998696599      2050                     -5.7477602485366         32                       3.077025149962795e-05    50451                    -0.8553325336772603      251251                   0.015381063              0.78454167               0.0017770063             1.7664253                1407.2987                
300                      0.18921456363466052      629391                   -10.72071052513852       2050                     -5.997594636595965       32                       2.773668598476334e-05    60501                    -0.8591026893028846      301301                   0.009280922              0.74342823               0.0011478002             1.6955925                273.40503                
350                      0.22086185170544517      733941                   -10.557568126370573      2050                     -5.146892150650613       32                       2.2778037323880553e-05   70551                    -0.8938023036533779      351351                   -0.0047584358            0.6740174                0.0034480984             1.6702106                198.40613                
400                      0.25252297156386905      838491                   -10.574430690914081      2050                     -5.025276385574468       32                       2.0422898603612512e-05   80601                    -0.8796929998712225      401401                   0.007855049              0.63848186               0.0005659453             1.6512012                174.826                  
450                      0.2842111957073212       943041                   -10.390088851382814      2050                     -5.273799523831684       32                       1.883208496838956e-05    90651                    -0.8974316089184253      451451                   -0.010655552             0.613103                 0.00064856035            1.6878378                862.837                  
500                      0.31585511015521156      1047591                  -10.494319212312384      2050                     -4.896317908838618       32                       2.0846316766976124e-05   100701                   -0.8626063877528721      501501                   -0.02282855              0.6460856                2.9664994e-07            1.6092024                229.22374                
550                      0.3475347207652198       1152141                  -10.444317822166097      2050                     -5.122137658750897       32                       1.7034342809028885e-05   110751                   -0.8808858377950175      551551                   -0.003394064             0.58361465               0.0006383641             1.6399584                146.81418                
600                      0.3792014726665285       1256691                  -10.361265703448465      2050                     -5.616709106441884       32                       1.4989997088835014e-05   120801                   -0.9067279156390484      601601                   0.017170103              0.5471695                0.0020668632             1.6291605                86.5248                  
650                      0.410839744342698        1361241                  -10.362227355133484      2050                     -4.999501875036367       32                       1.4166629164298969e-05   130851                   -0.9253512600680569      651651                   0.013067039              0.53110677               0.003877097              1.6533496                556.75244                
700                      0.442433170610004        1465791                  -10.1862167752637        2050                     -5.345550652170743       32                       1.4848103607768443e-05   140901                   -0.934809941035527       701701                   0.015067265              0.54427695               0.007772437              1.7075018                387.30826                
750                      0.4740217657883962       1570341                  -10.221636094796823      2050                     -4.545512137504992       32                       1.5759754888898698e-05   150951                   -0.9115167669244818      751751                   -0.009335336             0.56156045               0.0017880389             1.6530849                249.23706                
800                      0.5056710376342137       1674891                  -10.157898537990349      2050                     -4.767080374307841       32                       1.5256473498038984e-05   161001                   -0.914152253996004       801801                   0.0021784382             0.5518456                0.0014085162             1.6575109                360.8881                 
850                      0.5373918543921576       1779441                  -10.113075264908952      2050                     -4.557858255433533       32                       1.3936517194877217e-05   171051                   -0.9220270086358954      851851                   -0.00086286536           0.5269098                4.286434e-05             1.6419203                131.63689                
900                      0.569044808877839        1883991                  -10.057732464982362      2050                     -5.119048856178686       32                       1.2427129416694095e-05   181101                   -0.919432740111451       901901                   0.0023186002             0.49828398               0.0030301784             1.6389191                109.273964               
950                      0.6007861983113819       1988541                  -10.056751483319028      2050                     -4.173614994125935       32                       1.1915126722769358e-05   191151                   -0.942743596735296       951951                   0.013804543              0.48821166               0.004506461              1.6141751                111.62224                
1000                     0.6323873454994625       2093091                  -9.9712677515283         2050                     -4.588508197129061       32                       1.1893276551469641e-05   201201                   -0.9349314016062062      1002001                  -0.0052598794            0.48712394               0.00086233625            1.6283106                417.97867                
1050                     0.6640237648619546       2197641                  -9.874541239074004       2050                     -4.931175994022935       32                       1.1041358493231423e-05   211251                   -0.9362630167683879      1052051                  -0.00043029536           0.46954173               0.0005345421             1.5908561                157.63281                
1100                     0.6956697279877133       2302191                  -9.902193851303071       2050                     -4.1367979426924055      32                       9.831810249618037e-06    221301                   -0.9415019794658467      1102101                  0.002938442              0.44280192               0.00017181238            1.6013644                73.84889                 
1150                     0.7273567980527877       2406741                  -9.754458486359937       2050                     -4.202542968037931       32                       1.0247461599719465e-05   231351                   -0.9510393171281843      1152151                  -0.0013158058            0.4523246                0.0024114873             1.6074042                101.78297                
1200                     0.7590006615718206       2511291                  -9.778079156237782       2050                     -4.120502420299979       32                       1.0339660217883575e-05   241401                   -0.9420055042613636      1202201                  -0.002560856             0.45468473               0.00036588838            1.5931189                107.78984                
1250                     0.7906323424312803       2615841                  -9.777795400164386       2050                     -4.7149875491920685      32                       9.196975490828949e-06    251451                   -0.9490878994052823      1252251                  0.0051213303             0.4282893                0.0015083428             1.6038619                144.64372                
1300                     0.8222690851158566       2720391                  -9.79071263022083        2050                     -4.678353831985972       32                       9.29511013204482e-06     261501                   -0.9420108699893857      1302301                  0.0013926795             0.43048814               0.0033280158             1.6005943                76.49865                 
1350                     0.8539109253221088       2824941                  -9.730953636621821       2050                     -4.219756225854492       32                       9.349556014275372e-06    271551                   -0.9432431582089785      1352351                  -0.0036074577            0.43301466               0.00074281445            1.6017023                247.25786                
1400                     0.8855644730064604       2929491                  -9.676787786823565       2050                     -4.266255488581185       32                       9.138357769975912e-06    281601                   -0.9569250329748377      1402401                  -0.0010268303            0.42726368               0.0016876383             1.5879719                85.75928                 
1450                     0.91719592736827         3034041                  -9.68454675088094        2050                     -4.372750312690094       32                       8.782826535477864e-06    291651                   -0.9551631839839848      1452451                  -0.0037441864            0.41914624               0.003097585              1.6118122                372.98685                
1500                     0.948842760125796        3138591                  -9.634990987879686       2050                     -3.8094258285577465      32                       9.244062303014063e-06    301701                   -0.9502253727717594      1502501                  0.007970218              0.42994666               0.0032114687             1.5956697                202.65033                
1550                     0.9805323023266262       3243141                  -9.694342129268719       2050                     -4.326532797230337       32                       8.849282308819875e-06    311751                   -0.9457159051885614      1552551                  0.0074841944             0.42056248               0.0018878495             1.5815275                104.69886                
1600                     1.0121468309561412       3347691                  -9.66395492835151        2050                     -4.345605845246653       32                       8.779422111290308e-06    321801                   -0.9305594308035714      1602601                  -0.007145988             0.41974324               0.00016256371            1.565568                 114.10588                
1650                     1.0438202748696008       3452241                  -9.570910846589749       2050                     -4.62281574506277        32                       8.529940601530953e-06    331851                   -0.9641916311227835      1652651                  -0.0010209201            0.4130539                0.0027906874             1.6016579                174.78773                
1700                     1.0754679188463423       3556791                  -9.583298880771054       2050                     -4.21364315175614        32                       8.375423876985685e-06    341901                   -0.9486493121136675      1702701                  -0.002049233             0.4093452                0.0029012263             1.5817691                111.89386                
1750                     1.107128184106615        3661341                  -9.589058795868784       2050                     -4.497462304318597       32                       8.532871255901323e-06    351951                   -0.9528445187624875      1752751                  -0.0052149305            0.412253                 0.0007632797             1.5784212                57.687435                
1800                     1.1387795686721802       3765891                  -9.605590621105438       2050                     -4.250374897562704       32                       8.077060674034542e-06    362001                   -0.9646466814435565      1802801                  0.0039248024             0.40126976               0.0010173622             1.5854313                107.62313                
1850                     1.1704598284429975       3870441                  -9.554891401024058       2050                     -4.433430204877851       32                       7.795548733713022e-06    372051                   -0.9659487851016171      1852851                  -0.00083236716           0.39389992               0.0018227911             1.580653                 58.494434                
1900                     1.2020422573884328       3974991                  -9.536039074576635       2050                     -4.869605636866922       32                       7.816136291074515e-06    382101                   -0.9706804426042708      1902901                  0.00032981936            0.39504617               0.0010974469             1.5840213                64.68149                 
1950                     1.2337023108535343       4079541                  -9.566094549231822       2050                     -4.180490161143675       32                       8.030634127853818e-06    392151                   -0.9465137523609203      1952951                  -0.0027925726            0.40129444               0.0050086905             1.5686693                52.05068                 
2000                     1.265356349547704        4184091                  -9.437688742689682       2050                     -4.392317461445505       32                       8.199658749893827e-06    402201                   -0.9428447529033467      2003001                  0.0041428753             0.4052907                0.00089851284            1.5644848                68.28672                 
2050                     1.2969711194435756       4288641                  -9.506888287589659       2050                     -4.281268450784064       32                       7.634065044460012e-06    412251                   -0.9812887308004495      2053051                  0.0034937544             0.390844                 0.0027173108             1.5869917                83.689026                
2100                     1.3286264436774784       4393191                  -9.445550620943227       2050                     -4.354489948874491       32                       7.977392941490928e-06    422301                   -0.9604711694555444      2103101                  -0.0089289015            0.39974904               0.0019648257             1.5691653                62.147163                
2150                     1.3602721074554656       4497741                  -9.53103236355657        2050                     -3.9133988915409605      32                       7.983167373125826e-06    432351                   -0.9542260108056007      2153151                  0.0007553362             0.39953133               0.0032284395             1.5776161                137.2581                 
2200                     1.391949607928594        4602291                  -9.641721367778246       2050                     -4.452064359498825       32                       8.149954620100075e-06    442401                   -0.9568800340284715      2203201                  -0.0030978578            0.4038724                0.0013448002             1.5804772                177.41576                
2250                     1.423622385263443        4706841                  -9.507033653613535       2050                     -3.990437608049781       32                       7.617071303376808e-06    452451                   -0.9764631120832292      2253251                  0.0013707881             0.3904782                0.00033837964            1.5900877                134.9874                 
2300                     1.455258702966902        4811391                  -9.523026224748424       2050                     -4.101412881344185       32                       7.182757592579322e-06    462501                   -0.9795459057544018      2303301                  0.009777376              0.3782443                0.0041672424             1.6001358                273.73465                
2350                     1.4869058345423805       4915941                  -9.532740851189939       2050                     -4.3806434237556875      32                       7.773140811393807e-06    472551                   -0.9406187074644106      2353351                  -0.00062127784           0.39391917               7.110367e-05             8.472784                 147617.11                
2400                     1.518592475718922        5020491                  -9.457631202392793       2050                     -4.214527384659156       32                       7.777441807313641e-06    482601                   -0.9799965659340659      2403401                  0.0038302438             0.39472976               0.0007279735             1.5754329                54.59777                 
2450                     1.5502425832880868       5125041                  -9.45750680617187        2050                     -4.237787157218552       32                       7.413675202362573e-06    492651                   -0.9710543972628933      2453451                  0.0012428871             0.38481545               0.0060735284             1.5823785                125.22868                
2500                     1.581939417719841        5229591                  -9.6026828086033         2050                     -4.212529813121219       32                       7.281875103452609e-06    502701                   -0.9700610668628247      2503501                  0.0047841137             0.38008392               0.00041918634            1.5826782                114.15187                
2550                     1.6136545860105092       5334141                  -9.52903936083495        2050                     -4.031209687385474       32                       7.517641034922493e-06    512751                   -0.9693439495075237      2553551                  0.0040202797             0.38745388               0.0022483065             1.5868163                385.67154                
2600                     1.6453448028034634       5438691                  -9.481735174767085       2050                     -4.572045068883282       32                       7.756834557808157e-06    522801                   -0.9707047103287337      2603601                  -0.010669312             0.39400786               0.0021598309             1.5774186                51.71595                 
2650                     1.6770464297797945       5543241                  -9.50613193638129        2050                     -3.6333058116270993      32                       7.331282113544383e-06    532851                   -0.9678189242398226      2653651                  0.0013735079             0.3829328                0.005048896              1.5813133                57.2464                  
2700                     1.7086903123060861       5647791                  -9.488920174459059       2050                     -4.2057964792209654      32                       7.734740551431381e-06    542901                   -0.9553340336421391      2703701                  -0.00089377176           0.3933303                0.0007656232             1.5535835                43.262245                
2750                     1.7403678763575023       5752341                  -9.528290140709752       2050                     -4.122315027352281       32                       7.333801549613772e-06    552951                   -0.9721971753832105      2753751                  -0.0034004922            0.38366145               0.0036681336             1.5722622                39.883385                
2800                     1.7720360208882227       5856891                  -9.4718977243245         2050                     -4.255480324016374       32                       7.009560552736123e-06    563001                   -0.9800983318439374      2803801                  0.0036585408             0.37407562               0.002532555              1.5752914                54.200253                
2850                     1.8036975760592355       5961441                  -9.548689514282072       2050                     -3.784792869869942       32                       7.006348995723535e-06    573051                   -0.9799704689841409      2853851                  -0.002962882             0.3738862                0.0031129918             1.5678223                52.545673                
2900                     1.8353543063667086       6065991                  -9.458042805054486       2050                     -4.477713839828086       32                       6.914937484138344e-06    583101                   -0.9774972342111014      2903901                  0.00092919456            0.37183324               0.0033123028             1.589164                 101.59958                
2950                     1.8669790862666236       6170541                  -9.464595269297668       2050                     -4.7729117885774635      32                       7.257528663311728e-06    593151                   -0.974161458658529       2953951                  -0.0034220295            0.38135052               0.00033720463            1.5792177                79.08823                 
3000                     1.8986734039915933       6275091                  -9.440994498134787       2050                     -3.909754434978446       32                       6.9763474351731105e-06   603201                   -0.9794172502302385      3004001                  0.003468935              0.3730572                0.0026838225             1.5958204                73.88436                 
3050                     1.930308038128747        6379641                  -9.46559968238308        2050                     -4.3898516382888175      32                       7.001973864673382e-06    613251                   -0.9823789491758241      3054051                  0.0025813603             0.37368652               0.010477841              1.5893878                124.10345                
3100                     1.96196447385682         6484191                  -9.443111363512296       2050                     -4.684424772146426       32                       6.871154897878716e-06    623301                   -0.9672679615306569      3104101                  0.0017713648             0.3707343                0.0005019363             1.5609155                65.24735                 
3150                     1.9936313244369295       6588741                  -9.441887701931698       2050                     -4.42302217327797        32                       6.960897789851053e-06    633351                   -0.985950267993725       3154151                  -0.0031049866            0.37299588               0.0017110837             1.5733696                75.12825                 
3200                     2.025274734099706        6693291                  -9.471649749279498       2050                     -4.402002558373138       32                       7.1622661792149594e-06   643401                   -0.9615394371253746      3204201                  -0.0013580888            0.37804163               0.0008462602             1.5767959                38.758434                
3250                     2.056972954471906        6797841                  -9.486268553031431       2050                     -4.434132029792364       32                       6.976101283373228e-06    653451                   -0.9565163840066184      3254251                  0.0031196626             0.37335753               0.0022022713             1.5709101                78.22901                 
3300                     2.088617049124506        6902391                  -9.358632100166144       2050                     -4.1328487592393355      32                       7.096720298761455e-06    663501                   -0.9708379998907343      3304301                  -0.008905036             0.3767271                0.0009563694             1.5731382                45.683624                
3350                     2.120253057612313        7006941                  -9.36343900112077        2050                     -4.42991176206339        32                       6.65564233650319e-06     673551                   -0.984557251830201       3354351                  0.01332567               0.36480674               0.0017005113             1.5724211                91.64919                 
